,ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
248,mslr1,10,mtr,learning_rate:0.003,bag:4:greedify:mtr,0.893062,,,0.893062
249,mslr1,10,dr,learning_rate:0.01,bag:4:greedify:dr,0.890437,,,0.890437
250,mslr1,10,ips,learning_rate:0.01,bag:4:greedify:ips,0.858563,,,0.858563
251,mslr1,10,mtr,learning_rate:0.01,bag:4:greedify:mtr,0.891687,,,0.891687
252,mslr1,10,dr,learning_rate:0.03,bag:4:greedify:dr,0.882687,,,0.882687
253,mslr1,10,ips,learning_rate:0.03,bag:4:greedify:ips,0.8575,,,0.8575
254,mslr1,10,mtr,learning_rate:0.03,bag:4:greedify:mtr,0.865,,,0.865
255,mslr1,10,dr,learning_rate:0.1,bag:4:greedify:dr,0.874687,,,0.874687
256,mslr1,10,ips,learning_rate:0.1,bag:4:greedify:ips,0.846938,,,0.846938
257,mslr1,10,mtr,learning_rate:0.1,bag:4:greedify:mtr,0.837063,,,0.837063
258,mslr1,10,dr,learning_rate:0.3,bag:4:greedify:dr,0.8535,,,0.8535
259,mslr1,10,ips,learning_rate:0.3,bag:4:greedify:ips,0.85175,,,0.85175
260,mslr1,10,mtr,learning_rate:0.3,bag:4:greedify:mtr,0.819438,,,0.819438
261,mslr1,10,dr,learning_rate:1.0,bag:4:greedify:dr,0.839938,,,0.839938
262,mslr1,10,ips,learning_rate:1.0,bag:4:greedify:ips,0.850938,,,0.850938
263,mslr1,10,mtr,learning_rate:1.0,bag:4:greedify:mtr,0.8185,,,0.8185
264,mslr1,10,dr,learning_rate:3.0,bag:4:greedify:dr,0.828562,,,0.828562
265,mslr1,10,ips,learning_rate:3.0,bag:4:greedify:ips,0.852625,,,0.852625
266,mslr1,10,mtr,learning_rate:3.0,bag:4:greedify:mtr,0.818688,,,0.818688
267,mslr1,10,dr,learning_rate:10.0,bag:4:greedify:dr,0.851875,,,0.851875
268,mslr1,10,ips,learning_rate:10.0,bag:4:greedify:ips,0.848437,,,0.848437
269,mslr1,10,mtr,learning_rate:10.0,bag:4:greedify:mtr,0.827,,,0.827
270,mslr1,10,dr,learning_rate:0.001,bag:8:greedify:dr,0.891813,,,0.891813
271,mslr1,10,ips,learning_rate:0.001,bag:8:greedify:ips,0.877125,,,0.877125
272,mslr1,10,mtr,learning_rate:0.001,bag:8:greedify:mtr,0.8925,,,0.8925
273,mslr1,10,dr,learning_rate:0.003,bag:8:greedify:dr,0.891375,,,0.891375
274,mslr1,10,ips,learning_rate:0.003,bag:8:greedify:ips,0.871687,,,0.871687
275,mslr1,10,mtr,learning_rate:0.003,bag:8:greedify:mtr,0.893,,,0.893
276,mslr1,10,dr,learning_rate:0.01,bag:8:greedify:dr,0.89325,,,0.89325
277,mslr1,10,ips,learning_rate:0.01,bag:8:greedify:ips,0.867938,,,0.867938
278,mslr1,10,mtr,learning_rate:0.01,bag:8:greedify:mtr,0.891813,,,0.891813
