ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
loan1,2,dr,learning_rate:3.0,bag:2:dr,0.127577,,,0.127577
loan1,2,ips,learning_rate:3.0,bag:2:ips,0.220216,,,0.220216
loan1,2,mtr,learning_rate:3.0,bag:2:mtr,0.119918,,,0.119918
loan1,2,dr,learning_rate:10.0,bag:2:dr,0.142237,,,0.142237
loan1,2,ips,learning_rate:10.0,bag:2:ips,0.238015,,,0.238015
loan1,2,mtr,learning_rate:10.0,bag:2:mtr,0.128877,,,0.128877
loan1,2,dr,learning_rate:0.001,bag:4:dr,0.165577,,,0.165577
loan1,2,ips,learning_rate:0.001,bag:4:ips,0.173097,,,0.173097
loan1,2,mtr,learning_rate:0.001,bag:4:mtr,0.160757,,,0.160757
loan1,2,dr,learning_rate:0.003,bag:4:dr,0.164177,,,0.164177
loan1,2,ips,learning_rate:0.003,bag:4:ips,0.137797,,,0.137797
loan1,2,mtr,learning_rate:0.003,bag:4:mtr,0.164077,,,0.164077
loan1,2,dr,learning_rate:0.01,bag:4:dr,0.163597,,,0.163597
loan1,2,ips,learning_rate:0.01,bag:4:ips,0.132917,,,0.132917
loan1,2,mtr,learning_rate:0.01,bag:4:mtr,0.163497,,,0.163497
loan1,2,dr,learning_rate:0.03,bag:4:dr,0.163717,,,0.163717
loan1,2,ips,learning_rate:0.03,bag:4:ips,0.136157,,,0.136157
loan1,2,mtr,learning_rate:0.03,bag:4:mtr,0.163737,,,0.163737
loan1,2,dr,learning_rate:0.1,bag:4:dr,0.122138,,,0.122138
loan1,2,ips,learning_rate:0.1,bag:4:ips,0.140957,,,0.140957
loan1,2,mtr,learning_rate:0.1,bag:4:mtr,0.156977,,,0.156977
loan1,2,dr,learning_rate:0.3,bag:4:dr,0.140117,,,0.140117
loan1,2,ips,learning_rate:0.3,bag:4:ips,0.156977,,,0.156977
loan1,2,mtr,learning_rate:0.3,bag:4:mtr,0.143037,,,0.143037
loan1,2,dr,learning_rate:1.0,bag:4:dr,0.114478,,,0.114478
loan1,2,ips,learning_rate:1.0,bag:4:ips,0.180876,,,0.180876
loan1,2,mtr,learning_rate:1.0,bag:4:mtr,0.113838,,,0.113838
loan1,2,dr,learning_rate:3.0,bag:4:dr,0.120238,,,0.120238
loan1,2,ips,learning_rate:3.0,bag:4:ips,0.203856,,,0.203856
loan1,2,mtr,learning_rate:3.0,bag:4:mtr,0.115138,,,0.115138
loan1,2,dr,learning_rate:10.0,bag:4:dr,0.135137,,,0.135137
loan1,2,ips,learning_rate:10.0,bag:4:ips,0.225575,,,0.225575
loan1,2,mtr,learning_rate:10.0,bag:4:mtr,0.124058,,,0.124058
loan1,2,dr,learning_rate:0.001,bag:8:dr,0.166677,,,0.166677
loan1,2,ips,learning_rate:0.001,bag:8:ips,0.174737,,,0.174737
loan1,2,mtr,learning_rate:0.001,bag:8:mtr,0.163277,,,0.163277
loan1,2,dr,learning_rate:0.003,bag:8:dr,0.164337,,,0.164337
loan1,2,ips,learning_rate:0.003,bag:8:ips,0.140217,,,0.140217
loan1,2,mtr,learning_rate:0.003,bag:8:mtr,0.163217,,,0.163217
loan1,2,dr,learning_rate:0.01,bag:8:dr,0.163817,,,0.163817
loan1,2,ips,learning_rate:0.01,bag:8:ips,0.129637,,,0.129637
loan1,2,mtr,learning_rate:0.01,bag:8:mtr,0.163697,,,0.163697
loan1,2,dr,learning_rate:0.03,bag:8:dr,0.163757,,,0.163757
loan1,2,ips,learning_rate:0.03,bag:8:ips,0.130057,,,0.130057
loan1,2,mtr,learning_rate:0.03,bag:8:mtr,0.163757,,,0.163757
loan1,2,dr,learning_rate:0.1,bag:8:dr,0.163777,,,0.163777
loan1,2,ips,learning_rate:0.1,bag:8:ips,0.132297,,,0.132297
loan1,2,mtr,learning_rate:0.1,bag:8:mtr,0.135717,,,0.135717
loan1,2,dr,learning_rate:0.3,bag:8:dr,0.163717,,,0.163717
loan1,2,ips,learning_rate:0.3,bag:8:ips,0.145417,,,0.145417
