,ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
3867,14,10,dr,learning_rate:10.0,cover:8:psi:0.1:nounif:dr,0.861,2000,76,0.861
5386,18,10,ips,learning_rate:0.1,bag:16:ips,0.834,2000,6,0.834
510,10,4,dr,learning_rate:10.0,cover:4:psi:0.1:dr,0.351351,148,18,0.351351
8715,3,2,ips,learning_rate:0.01,cover:4:psi:0:nounif:ips,0.1699,3196,36,0.1699
3015,12,10,dr,learning_rate:1.0,cover:16:psi:0.1:dr,0.7145,2000,216,0.7145
11147,8,2,dr,learning_rate:0.03,cover:16:psi:0.01:dr,0.069565,345,6,0.069565
2124,12,10,dr,learning_rate:1.0,epsilon:0.02:dr,0.6505,2000,216,0.6505
6430,20,10,mtr,learning_rate:10.0,bag:8:mtr,0.7395,2000,240,0.7395
7397,21,4,dr,learning_rate:0.1,bag:2:dr,0.101852,1728,6,0.101852
6913,20,10,mtr,learning_rate:3.0,cover:8:psi:0.01:mtr,0.8095,2000,240,0.8095
2556,12,10,dr,learning_rate:1.0,cover:4:psi:0.01:nounif:dr,0.487,2000,216,0.487
5231,18,10,mtr,learning_rate:1.0,epsilon:0.02:mtr,0.77,2000,6,0.77
2321,12,10,mtr,learning_rate:10.0,bag:2:greedify:mtr,0.5385,2000,216,0.5385
3929,14,10,mtr,learning_rate:0.003,cover:16:psi:0:mtr,0.886,2000,76,0.886
3924,14,10,dr,learning_rate:0.001,cover:16:psi:0:dr,0.8815,2000,76,0.8815
5032,16,10,ips,learning_rate:1.0,cover:16:psi:0.01:ips,0.886,2000,64,0.886
10734,8,2,ips,learning_rate:0.001,cover:4:psi:0.01:nounif:ips,0.02029,345,6,0.02029
10131,6,26,ips,learning_rate:0.001,cover:16:psi:0:nounif:ips,0.94535,20000,16,0.94535
5044,16,10,ips,learning_rate:0.003,cover:16:psi:0.01:nounif:ips,0.8715,2000,64,0.8715
852,10,4,dr,learning_rate:0.3,cover:16:psi:0:nounif:dr,0.148649,148,18,0.148649
2424,12,10,dr,learning_rate:3.0,cover:1:dr,0.7395,2000,216,0.7395
1410,11,3,dr,learning_rate:0.3,cover:1:nounif:dr,0.1072,625,4,0.1072
3474,14,10,dr,learning_rate:0.03,cover:1:nounif:dr,0.852,2000,76,0.852
9446,6,26,dr,learning_rate:1.0,epsilon:0.1:dr,0.91985,20000,16,0.91985
7514,21,4,dr,learning_rate:3.0,bag:2:greedify:dr,0.100694,1728,6,0.100694
888,10,4,dr,learning_rate:10.0,cover:16:psi:0.01:dr,0.297297,148,18,0.297297
9425,6,26,dr,learning_rate:10.0,epsilon:0.05:dr,0.92605,20000,16,0.92605
5696,18,10,mtr,learning_rate:10.0,cover:4:psi:0.1:mtr,0.795,2000,6,0.795
2613,12,10,dr,learning_rate:3.0,cover:4:psi:0.1:nounif:dr,0.4535,2000,216,0.4535
4647,16,10,dr,learning_rate:0.1,cover:4:psi:0.1:dr,0.883,2000,64,0.883
6457,20,10,mtr,learning_rate:10.0,bag:16:mtr,0.7495,2000,240,0.7495
4698,16,10,dr,learning_rate:0.03,cover:4:psi:1.0:dr,0.8845,2000,64,0.8845
7131,20,10,ips,learning_rate:10.0,cover:16:psi:0.01:ips,0.782,2000,240,0.782
5998,18,10,ips,learning_rate:0.003,cover:16:psi:0:ips,0.85,2000,6,0.85
1896,11,3,dr,learning_rate:0.3,cover:16:psi:0:nounif:dr,0.1072,625,4,0.1072
4093,14,10,ips,learning_rate:0.01,cover:16:psi:1.0:ips,0.8895,2000,76,0.8895
6698,20,10,dr,learning_rate:10.0,cover:4:psi:0.01:dr,0.7565,2000,240,0.7565
3130,14,10,ips,learning_rate:0.3,epsilon:0:ips,0.882,2000,76,0.882
8353,3,2,mtr,learning_rate:3.0,epsilon:0.02:mtr,0.191176,3196,36,0.191176
3177,14,10,dr,learning_rate:0.03,epsilon:0.05:dr,0.8885,2000,76,0.8885
5444,18,10,mtr,learning_rate:0.3,bag:4:greedify:mtr,0.6545,2000,6,0.6545
8487,3,2,ips,learning_rate:3.0,bag:8:ips,0.288173,3196,36,0.288173
8941,3,2,mtr,learning_rate:0.3,cover:8:psi:0:nounif:mtr,0.212453,3196,36,0.212453
9138,3,2,ips,learning_rate:10.0,cover:16:psi:0:ips,0.253129,3196,36,0.253129
872,10,4,mtr,learning_rate:0.01,cover:16:psi:0.01:mtr,0.22973,148,18,0.22973
8221,21,4,mtr,learning_rate:10.0,cover:16:psi:0.1:mtr,0.233218,1728,6,0.233218
8237,21,4,dr,learning_rate:0.3,cover:16:psi:0.1:nounif:dr,0.096065,1728,6,0.096065
4496,16,10,mtr,learning_rate:3.0,cover:1:mtr,0.8525,2000,64,0.8525
7071,20,10,ips,learning_rate:1.0,cover:16:psi:0:ips,0.791,2000,240,0.791
7232,20,10,dr,learning_rate:1.0,cover:16:psi:1.0:dr,0.746,2000,240,0.746
1084,11,3,ips,learning_rate:0.1,epsilon:0.02:ips,0.2368,625,4,0.2368
7994,21,4,dr,learning_rate:0.3,cover:8:psi:0.1:dr,0.197917,1728,6,0.197917
6124,18,10,ips,learning_rate:3.0,cover:16:psi:0.1:ips,0.837,2000,6,0.837
7619,21,4,dr,learning_rate:1.0,cover:1:dr,0.217593,1728,6,0.217593
2800,12,10,ips,learning_rate:1.0,cover:8:psi:0.1:ips,0.8015,2000,216,0.8015
11260,8,2,mtr,learning_rate:0.1,cover:16:psi:1.0:mtr,0.127536,345,6,0.127536
10771,8,2,mtr,learning_rate:0.03,cover:4:psi:0.1:mtr,0.089855,345,6,0.089855
10661,8,2,dr,learning_rate:0.03,cover:4:psi:0:dr,0.075362,345,6,0.075362
6531,20,10,ips,learning_rate:1.0,bag:8:greedify:ips,0.8155,2000,240,0.8155
6859,20,10,mtr,learning_rate:3.0,cover:8:psi:0:mtr,0.8135,2000,240,0.8135
9805,6,26,mtr,learning_rate:10.0,cover:4:psi:0.1:mtr,0.8968,20000,16,0.8968
2210,12,10,mtr,learning_rate:3.0,bag:2:mtr,0.575,2000,216,0.575
9830,6,26,dr,learning_rate:10.0,cover:4:psi:0.1:nounif:dr,0.72765,20000,16,0.72765
9030,3,2,ips,learning_rate:10.0,cover:8:psi:0.1:ips,0.265957,3196,36,0.265957
1113,11,3,dr,learning_rate:0.3,epsilon:0.05:dr,0.2048,625,4,0.2048
496,10,4,ips,learning_rate:0.03,cover:4:psi:0.1:ips,0.398649,148,18,0.398649
5653,18,10,ips,learning_rate:0.03,cover:4:psi:0.01:nounif:ips,0.793,2000,6,0.793
6317,20,10,dr,learning_rate:3.0,epsilon:0.05:dr,0.7595,2000,240,0.7595
9606,6,26,ips,learning_rate:0.3,bag:4:greedify:ips,0.95035,20000,16,0.95035
919,10,4,ips,learning_rate:0.001,cover:16:psi:0.1:ips,0.290541,148,18,0.290541
