algo,lr,loss
cover:1:nounif:dr,learning_rate:0.1,536.9
cover:8:psi:0.1:nounif:dr,learning_rate:1.0,536.9
cover:8:psi:0.1:nounif:dr,learning_rate:3.0,536.9
cover:16:psi:0:nounif:mtr,learning_rate:0.03,536.9
cover:16:psi:0:nounif:mtr,learning_rate:0.1,536.9
cover:1:nounif:dr,learning_rate:0.3,536.9
cover:1:nounif:ips,learning_rate:0.001,536.9
cover:16:psi:0:nounif:mtr,learning_rate:1.0,536.9
cover:16:psi:0:nounif:mtr,learning_rate:0.3,536.9
cover:1:nounif:dr,learning_rate:3.0,536.9
cover:16:psi:0:nounif:mtr,learning_rate:3.0,536.9
cover:1:nounif:dr,learning_rate:10.0,536.9
cover:16:psi:1.0:nounif:dr,learning_rate:1.0,536.9
cover:1:nounif:dr,learning_rate:1.0,536.9
cover:16:psi:0:nounif:mtr,learning_rate:10.0,536.9
bag:16:dr,learning_rate:0.001,536.8875
bag:2:ips,learning_rate:0.001,536.8875
bag:16:mtr,learning_rate:0.003,536.8875
bag:16:mtr,learning_rate:0.01,536.8875
bag:16:mtr,learning_rate:0.1,536.8875
bag:16:mtr,learning_rate:0.3,536.8875
bag:16:mtr,learning_rate:1.0,536.8875
bag:16:mtr,learning_rate:10.0,536.8875
bag:16:mtr,learning_rate:3.0,536.8875
bag:2:dr,learning_rate:0.001,536.8875
bag:2:dr,learning_rate:0.003,536.8875
bag:2:dr,learning_rate:0.01,536.8875
bag:2:dr,learning_rate:0.03,536.8875
bag:2:dr,learning_rate:0.1,536.8875
bag:2:dr,learning_rate:0.3,536.8875
bag:2:dr,learning_rate:1.0,536.8875
bag:2:dr,learning_rate:10.0,536.8875
bag:2:dr,learning_rate:3.0,536.8875
bag:2:ips,learning_rate:0.003,536.8875
bag:2:ips,learning_rate:0.01,536.8875
bag:2:mtr,learning_rate:0.001,536.8875
bag:2:mtr,learning_rate:0.003,536.8875
bag:2:mtr,learning_rate:0.01,536.8875
bag:2:mtr,learning_rate:0.03,536.8875
bag:2:mtr,learning_rate:0.1,536.8875
bag:2:mtr,learning_rate:0.3,536.8875
bag:2:mtr,learning_rate:1.0,536.8875
bag:2:mtr,learning_rate:10.0,536.8875
bag:2:mtr,learning_rate:3.0,536.8875
bag:16:mtr,learning_rate:0.001,536.8875
bag:16:ips,learning_rate:0.01,536.8875
bag:16:mtr,learning_rate:0.03,536.8875
bag:16:ips,learning_rate:0.001,536.8875
bag:16:dr,learning_rate:0.03,536.8875
bag:16:dr,learning_rate:0.1,536.8875
bag:16:ips,learning_rate:0.003,536.8875
bag:16:dr,learning_rate:0.3,536.8875
bag:16:dr,learning_rate:1.0,536.8875
bag:16:dr,learning_rate:0.01,536.8875
bag:16:dr,learning_rate:0.003,536.8875
bag:16:dr,learning_rate:10.0,536.8875
bag:16:dr,learning_rate:3.0,536.8875
bag:8:mtr,learning_rate:0.001,536.875
bag:2:greedify:dr,learning_rate:0.003,536.875
bag:8:dr,learning_rate:0.003,536.875
bag:8:dr,learning_rate:0.01,536.875
bag:8:dr,learning_rate:0.03,536.875
bag:8:dr,learning_rate:0.1,536.875
bag:8:dr,learning_rate:0.3,536.875
bag:8:dr,learning_rate:1.0,536.875
bag:8:dr,learning_rate:10.0,536.875
bag:8:dr,learning_rate:0.001,536.875
bag:8:dr,learning_rate:3.0,536.875
bag:8:mtr,learning_rate:0.3,536.875
bag:8:mtr,learning_rate:0.1,536.875
bag:8:mtr,learning_rate:0.03,536.875
bag:8:mtr,learning_rate:0.01,536.875
bag:8:ips,learning_rate:0.001,536.875
bag:8:ips,learning_rate:0.003,536.875
bag:8:ips,learning_rate:0.01,536.875
bag:8:mtr,learning_rate:1.0,536.875
bag:8:mtr,learning_rate:3.0,536.875
bag:2:greedify:mtr,learning_rate:3.0,536.875
bag:2:greedify:mtr,learning_rate:10.0,536.875
bag:2:greedify:dr,learning_rate:0.01,536.875
bag:2:greedify:dr,learning_rate:0.03,536.875
bag:2:greedify:dr,learning_rate:0.1,536.875
bag:2:greedify:dr,learning_rate:0.3,536.875
bag:2:greedify:dr,learning_rate:1.0,536.875
bag:2:greedify:dr,learning_rate:10.0,536.875
bag:2:greedify:dr,learning_rate:3.0,536.875
bag:2:greedify:ips,learning_rate:0.001,536.875
bag:2:greedify:ips,learning_rate:0.003,536.875
bag:2:greedify:ips,learning_rate:0.01,536.875
bag:8:mtr,learning_rate:0.003,536.875
bag:2:greedify:mtr,learning_rate:0.003,536.875
bag:2:greedify:mtr,learning_rate:0.01,536.875
bag:2:greedify:mtr,learning_rate:0.03,536.875
bag:2:greedify:mtr,learning_rate:0.1,536.875
bag:2:greedify:mtr,learning_rate:0.3,536.875
bag:2:greedify:mtr,learning_rate:1.0,536.875
bag:2:greedify:dr,learning_rate:0.001,536.875
bag:2:greedify:mtr,learning_rate:0.001,536.875
bag:8:mtr,learning_rate:10.0,536.85
cover:4:psi:0.1:nounif:ips,learning_rate:0.01,535.625
cover:4:psi:0.01:nounif:dr,learning_rate:0.001,535.625
cover:4:psi:0.01:nounif:mtr,learning_rate:0.001,535.625
cover:4:psi:0.01:nounif:ips,learning_rate:0.001,535.625
cover:4:psi:0.1:nounif:mtr,learning_rate:0.01,535.625
cover:4:psi:0.1:nounif:dr,learning_rate:0.01,535.625
cover:4:psi:1.0:nounif:mtr,learning_rate:0.1,535.4875
cover:4:psi:1.0:nounif:dr,learning_rate:0.1,535.425
cover:16:psi:1.0:nounif:mtr,learning_rate:0.1,535.3
cover:16:psi:1.0:nounif:dr,learning_rate:0.1,535.275
cover:16:psi:0.01:nounif:mtr,learning_rate:0.001,535.075
cover:16:psi:0.01:nounif:dr,learning_rate:0.001,535.075
cover:16:psi:0.1:nounif:mtr,learning_rate:0.01,535.0625
cover:16:psi:0.1:nounif:dr,learning_rate:0.01,535.05
cover:16:psi:0.01:nounif:ips,learning_rate:0.001,535.0375
cover:8:psi:1.0:nounif:mtr,learning_rate:0.1,534.9875
cover:8:psi:1.0:nounif:dr,learning_rate:0.1,534.9875
cover:8:psi:0.1:nounif:mtr,learning_rate:0.01,534.9375
cover:16:psi:0.1:nounif:ips,learning_rate:0.01,534.8875
cover:8:psi:0.01:nounif:dr,learning_rate:0.001,534.8625
cover:8:psi:0.01:nounif:mtr,learning_rate:0.001,534.8625
cover:8:psi:0.1:nounif:dr,learning_rate:0.01,534.8625
cover:8:psi:0.01:nounif:ips,learning_rate:0.001,534.8625
cover:8:psi:0.1:nounif:ips,learning_rate:0.01,534.8375
epsilon:0.02:ips,learning_rate:0.3,534.2125
epsilon:0.02:mtr,learning_rate:0.01,534.2125
epsilon:0.02:mtr,learning_rate:0.03,534.2125
epsilon:0.02:mtr,learning_rate:0.1,534.2125
epsilon:0.02:mtr,learning_rate:0.003,534.2125
epsilon:0.02:mtr,learning_rate:0.001,534.2125
epsilon:0.02:ips,learning_rate:0.1,534.2125
epsilon:0.02:mtr,learning_rate:0.3,534.2125
epsilon:0.02:dr,learning_rate:0.1,534.2125
epsilon:0.02:mtr,learning_rate:1.0,534.2125
epsilon:0.02:ips,learning_rate:0.03,534.2125
epsilon:0.02:ips,learning_rate:0.01,534.2125
epsilon:0.02:ips,learning_rate:0.003,534.2125
epsilon:0.02:ips,learning_rate:0.001,534.2125
epsilon:0.02:dr,learning_rate:3.0,534.2125
epsilon:0.02:dr,learning_rate:10.0,534.2125
epsilon:0.02:dr,learning_rate:0.001,534.2125
epsilon:0.02:dr,learning_rate:0.003,534.2125
epsilon:0.02:dr,learning_rate:0.01,534.2125
epsilon:0.02:dr,learning_rate:1.0,534.2125
epsilon:0.02:dr,learning_rate:0.03,534.2125
epsilon:0.02:dr,learning_rate:0.3,534.2125
cover:8:psi:0.1:nounif:ips,learning_rate:0.03,533.9375
cover:16:psi:0.1:nounif:ips,learning_rate:0.03,532.6125
bag:16:ips,learning_rate:0.03,531.5125
cover:16:psi:0:ips,learning_rate:0.001,531.275
cover:16:psi:0:ips,learning_rate:0.003,531.275
cover:4:psi:0.1:dr,learning_rate:0.3,531.275
cover:4:psi:0.1:dr,learning_rate:1.0,531.275
cover:16:psi:0.01:ips,learning_rate:3.0,531.275
cover:16:psi:0.01:ips,learning_rate:1.0,531.275
cover:4:psi:0.1:dr,learning_rate:0.1,531.275
cover:4:psi:0.01:mtr,learning_rate:3.0,531.275
cover:16:psi:0:dr,learning_rate:3.0,531.275
cover:4:psi:0.1:ips,learning_rate:0.1,531.275
cover:4:psi:0.1:ips,learning_rate:0.3,531.275
cover:4:psi:0.1:ips,learning_rate:1.0,531.275
cover:16:psi:0.1:mtr,learning_rate:0.1,531.275
cover:4:psi:0.1:ips,learning_rate:3.0,531.275
cover:16:psi:0.1:mtr,learning_rate:0.3,531.275
cover:16:psi:0:dr,learning_rate:1.0,531.275
cover:16:psi:0:dr,learning_rate:0.3,531.275
cover:4:psi:0.1:mtr,learning_rate:0.1,531.275
cover:4:psi:0.1:mtr,learning_rate:0.3,531.275
cover:4:psi:0.1:dr,learning_rate:3.0,531.275
cover:8:psi:0.01:mtr,learning_rate:0.01,531.275
cover:8:psi:0.01:mtr,learning_rate:1.0,531.275
cover:8:psi:0.01:mtr,learning_rate:0.1,531.275
cover:16:psi:0:ips,learning_rate:0.3,531.275
cover:4:psi:0.01:ips,learning_rate:3.0,531.275
cover:16:psi:0.1:mtr,learning_rate:3.0,531.275
cover:4:psi:0.01:mtr,learning_rate:0.01,531.275
cover:4:psi:0.01:mtr,learning_rate:0.03,531.275
cover:4:psi:0.01:mtr,learning_rate:0.1,531.275
cover:4:psi:0.01:mtr,learning_rate:0.3,531.275
cover:4:psi:0.01:mtr,learning_rate:1.0,531.275
cover:16:psi:0:ips,learning_rate:0.03,531.275
cover:16:psi:0:ips,learning_rate:0.01,531.275
cover:16:psi:0.1:dr,learning_rate:0.1,531.275
cover:16:psi:0.1:dr,learning_rate:0.3,531.275
cover:16:psi:0.1:dr,learning_rate:1.0,531.275
cover:16:psi:0.01:mtr,learning_rate:0.03,531.275
cover:4:psi:1.0:dr,learning_rate:3.0,531.275
