ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
loan1,15,dr,learning_rate:0.003,bag:2:dr,405.725,,,405.725
loan1,15,ips,learning_rate:0.003,bag:2:ips,405.725,,,405.725
loan1,15,mtr,learning_rate:0.003,bag:2:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:0.01,bag:2:dr,405.725,,,405.725
loan1,15,ips,learning_rate:0.01,bag:2:ips,405.725,,,405.725
loan1,15,mtr,learning_rate:0.01,bag:2:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:0.03,bag:2:dr,405.725,,,405.725
loan1,15,ips,learning_rate:0.03,bag:2:ips,301.95,,,301.95
loan1,15,mtr,learning_rate:0.03,bag:2:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:0.1,bag:2:dr,405.725,,,405.725
loan1,15,ips,learning_rate:0.1,bag:2:ips,296.9,,,296.9
loan1,15,mtr,learning_rate:0.1,bag:2:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:0.3,bag:2:dr,405.725,,,405.725
loan1,15,ips,learning_rate:0.3,bag:2:ips,310.75,,,310.75
loan1,15,mtr,learning_rate:0.3,bag:2:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:1.0,bag:2:dr,405.725,,,405.725
loan1,15,ips,learning_rate:1.0,bag:2:ips,276.375,,,276.375
loan1,15,mtr,learning_rate:1.0,bag:2:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:3.0,bag:2:dr,405.725,,,405.725
loan1,15,ips,learning_rate:3.0,bag:2:ips,229.025,,,229.025
loan1,15,mtr,learning_rate:3.0,bag:2:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:10.0,bag:2:dr,405.725,,,405.725
loan1,15,ips,learning_rate:10.0,bag:2:ips,165.325,,,165.325
loan1,15,mtr,learning_rate:10.0,bag:2:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:0.001,bag:4:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.001,bag:4:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.001,bag:4:mtr,405.75,,,405.75
